Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action,Rate-to-Num,Act-to-Num,PE/R,PE/A
PNR,Pentair Ltd.,Industrials,66.67,18.89,74.84,57.63,66.235,10.92%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
PNW,Pinnacle West Capital,Utilities,74.34,16.06,92.48,73.81,83.145,0.72%,Above 52 Week Low,BETTER,HOLD,3,2,5,8
PPG,PPG Industries,Materials,110.3,18.73,122.0697,99.57,110.81985,10.78%,Above 52 Week Low,BEST,HOLD,1,2,19,9
PPL,PPL Corp.,Utilities,29.52,12.83,40.2,29.205,34.7025,1.08%,Above 52 Week Low,BEST,BUY,1,1,13,13
PRGO,Perrigo,Health Care,84.44,,95.93,63.68,79.805,11.98%,Below 52 Week High ,BETTER,LOOK,3,4,0,0
PRU,Prudential Financial,Financials,103.38,9.99,127.14,97.88,112.51,5.62%,Above 52 Week Low,BEST,BUY,1,1,10,10
PSA,Public Storage,Real Estate,180.49,18.21,232.21,180.9254,206.5677,-0.24%,Below 52 Week Low,CAUTION,HOLD,4,2,5,9
PSX,Phillips 66,Energy,92.44,21.11,107.47,75.135,91.3025,13.99%,Below 52 Week High ,BETTER,SELL,3,3,7,7
PVH,PVH Corp.,Consumer Discretionary,142.68,20.98,157.96,84.53,121.245,9.67%,Below 52 Week High ,BETTER,SELL,3,3,7,7
PWR,Quanta Services Inc.,Industrials,33.51,17.54,40.105,30.23,35.1675,10.85%,Above 52 Week Low,BEST,HOLD,1,2,18,9
PX,Praxair Inc.,Materials,144.07,24.63,166.95,115.53,141.24,13.70%,Below 52 Week High ,BETTER,SELL,3,3,8,8
PXD,Pioneer Natural Resources,Energy,169.16,118.29,199.83,125.46,162.645,15.35%,Below 52 Week High ,BETTER,SELL,3,3,39,39
PYPL,PayPal,Information Technology,72.32,49.53,86.32,39.92,63.12,16.22%,Below 52 Week High ,BETTER,SELL,3,3,17,17
QCOM,QUALCOMM Inc.,Information Technology,62.42,16.51,69.28,48.92,59.1,9.90%,Below 52 Week High ,BETTER,HOLD,3,2,6,8
QRVO,Qorvo,Information Technology,76.85,19.71,85.24,62.68,73.96,9.84%,Below 52 Week High ,BETTER,HOLD,3,2,7,10
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,122.45,16.26,135.65,93.4,114.525,9.73%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
RE,Everest Re Group Ltd.,Financials,241.06,27.24,277.17,208.81,242.99,15.44%,Above 52 Week Low,BEST,SELL,1,3,27,9
REG,Regency Centers Corporation,Real Estate,55.58,15.27,72.05,56.66,64.355,-1.91%,Below 52 Week Low,CAUTION,HOLD,4,2,4,8
REGN,Regeneron,Health Care,322.62,27.93,543.5518,319.5,431.5259,0.98%,Above 52 Week Low,BETTER,SELL,3,3,9,9
RF,Regions Financial Corp.,Financials,17.9,17.9,19.9,13,16.45,10.05%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
RHI,Robert Half International,Industrials,52.26,20.18,60.59,42.92,51.755,13.75%,Below 52 Week High ,BETTER,SELL,3,3,7,7
RHT,Red Hat Inc.,Information Technology,124.65,79.9,135.77,78.48,107.125,8.19%,Below 52 Week High ,BETTER,SELL,3,3,27,27
RJF,Raymond James Financial Inc.,Financials,86.06,16.94,99.1,71.35,85.225,13.16%,Below 52 Week High ,BETTER,HOLD,3,2,6,8
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,101.32,17.74,119.33,66.06,92.695,15.09%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
RMD,ResMed,Health Care,89.26,31.54,104.78,67.04,85.91,14.81%,Below 52 Week High ,BETTER,SELL,3,3,11,11
ROK,Rockwell Automation Inc.,Industrials,178.73,26.48,210.72,147.67,179.195,21.03%,Above 52 Week Low,GOOD,SELL,2,3,13,9
ROP,Roper Technologies,Industrials,259.4,27.57,290.415,191.22,240.8175,10.68%,Below 52 Week High ,BETTER,SELL,3,3,9,9
ROST,Ross Stores,Consumer Discretionary,75.06,26.52,85.66,52.85,69.255,12.37%,Below 52 Week High ,BETTER,SELL,3,3,9,9
RRC,Range Resources Corp.,Energy,12.82,35.61,34.09,12.7,23.395,0.94%,Above 52 Week Low,BETTER,SELL,3,3,12,12
RSG,Republic Services Inc,Industrials,62.72,26.13,69.4,57.53,63.465,9.02%,Above 52 Week Low,BEST,SELL,1,3,26,9
RTN,Raytheon Co.,Industrials,198.74,25.78,213.45,147.86,180.655,6.89%,Below 52 Week High ,BETTER,SELL,3,3,9,9
SBAC,SBA Communications,Real Estate,159.85,199.81,177.67,103.51,140.59,10.03%,Below 52 Week High ,BETTER,SELL,3,3,67,67
SBUX,Starbucks Corp.,Consumer Discretionary,53.77,25.98,64.87,52.58,58.725,2.26%,Above 52 Week Low,BEST,SELL,1,3,26,9
SCG,SCANA Corp,Utilities,35.6,8.75,71.28,35.31,53.295,0.82%,Above 52 Week Low,BETTER,BUY,3,1,3,9
