Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action,Rate-to-Num,Act-to-Num,PE/R,PE/A
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,34.09,17.57,38.56,24.3,31.43,11.59%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,34.56,17.81,39.135,24.81,31.9725,11.69%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
FRT,Federal Realty Investment Trust,Real Estate,108.11,18.35,143.79,109.74,126.765,-1.49%,Below 52 Week Low,CAUTION,HOLD,4,2,5,9
FTI,TechnipFMC,Energy,29.1,18.77,35,24.53,29.765,18.63%,Above 52 Week Low,BEST,HOLD,1,2,19,9
FTV,Fortive Corp,Industrials,69.14,25.05,76.68,54.8844,65.7822,9.83%,Below 52 Week High ,BETTER,SELL,3,3,8,8
GD,General Dynamics,Industrials,206.05,20.71,229.54,181.94,205.74,10.23%,Below 52 Week High ,BETTER,SELL,3,3,7,7
GE,General Electric,Industrials,14.45,13.76,30.59,14.71,22.65,-1.77%,Below 52 Week Low,CAUTION,BUY,4,1,3,14
GGP,General Growth Properties Inc.,Real Estate,21.62,13.86,25.72,18.83,22.275,14.82%,Above 52 Week Low,BEST,BUY,1,1,14,14
GILD,Gilead Sciences,Health Care,78.22,8.16,89.54,63.759,76.6495,12.64%,Below 52 Week High ,BETTER,BUY,3,1,3,8
GIS,General Mills,Consumer Staples,53.99,17.53,63.73,49.65,56.69,8.74%,Above 52 Week Low,BEST,HOLD,1,2,18,9
GLW,Corning Inc.,Information Technology,28.45,16.45,35.1,26.31,30.705,8.13%,Above 52 Week Low,BEST,HOLD,1,2,16,8
GM,General Motors,Consumer Discretionary,40.75,6.58,46.76,31.92,39.34,12.85%,Below 52 Week High ,BETTER,BUY,3,1,2,7
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,1186.89,803.1903,995.04015,15.62%,Below 52 Week High ,BETTER,SELL,3,3,13,13
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,1198,824.3,1011.15,22.25%,Above 52 Week Low,GOOD,SELL,2,3,16,10
GPC,Genuine Parts,Consumer Discretionary,96.31,21.17,107.75,79.86,93.805,10.62%,Below 52 Week High ,BETTER,SELL,3,3,7,7
GPN,Global Payments Inc.,Information Technology,100.59,27.86,113.26,76.47,94.865,11.19%,Below 52 Week High ,BETTER,SELL,3,3,9,9
GPS,Gap Inc.,Consumer Discretionary,31.17,15.35,35.68,21.02,28.35,12.64%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
GRMN,Garmin Ltd.,Consumer Discretionary,61.13,21.23,64.96,48.5,56.73,5.90%,Below 52 Week High ,BETTER,SELL,3,3,7,7
GS,Goldman Sachs Group,Financials,246.35,12.44,273.79,209.62,241.705,10.02%,Below 52 Week High ,BETTER,BUY,3,1,4,12
GT,Goodyear Tire & Rubber,Consumer Discretionary,30.75,9.92,37.2,28.81,33.005,6.73%,Above 52 Week Low,BEST,BUY,1,1,10,10
GWW,Grainger (W.W.) Inc.,Industrials,258.6,22.57,298.145,155,226.5725,13.26%,Below 52 Week High ,BETTER,SELL,3,3,8,8
HAL,Halliburton Co.,Energy,47.41,38.86,57.86,38.181,48.0205,24.17%,Above 52 Week Low,GOOD,SELL,2,3,19,13
HAS,Hasbro Inc.,Consumer Discretionary,96.48,20.57,116.2,87.92,102.06,9.74%,Above 52 Week Low,BEST,SELL,1,3,21,7
HBAN,Huntington Bancshares,Financials,15.1,15.41,16.53,12.14,14.335,8.65%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,10.04,25.73,18.9,22.315,3.54%,Above 52 Week Low,BEST,BUY,1,1,10,10
HCA,HCA Holdings,Health Care,95.97,14.07,106.84,71.18,89.01,10.17%,Below 52 Week High ,BETTER,BUY,3,1,5,14
HCN,Welltower Inc.,Real Estate,54.67,12.74,78.17,55.29,66.73,-1.12%,Below 52 Week Low,CAUTION,BUY,4,1,3,13
HCP,HCP Inc.,Real Estate,22.64,10.99,33.67,22.8,28.235,-0.70%,Below 52 Week Low,CAUTION,BUY,4,1,3,11
HD,Home Depot,Consumer Discretionary,181.22,28.1,207.605,136.82,172.2125,12.71%,Below 52 Week High ,BETTER,SELL,3,3,9,9
HES,Hess Corporation,Energy,43,-9.33,55.48,37.25,46.365,15.44%,Above 52 Week Low,BEST,LOOK,1,4,-9,-2
HIG,Hartford Financial Svc.Gp.,Financials,53.34,14.34,59.2,46.35,52.775,9.90%,Below 52 Week High ,BETTER,BUY,3,1,5,14
HII,Huntington Ingalls Industries,Industrials,225.37,18.75,253.44,183.42,218.43,11.08%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,36.42,88.11,55.79,71.95,10.73%,Below 52 Week High ,BETTER,SELL,3,3,12,12
HOG,Harley-Davidson,Consumer Discretionary,47.54,13.7,63.4,44.52,53.96,6.78%,Above 52 Week Low,BEST,BUY,1,1,14,14
HOLX,Hologic,Health Care,38.8,19.21,46.8,35.76,41.28,8.50%,Above 52 Week Low,BEST,HOLD,1,2,19,10
HON,Honeywell Int'l Inc.,Industrials,146.02,20.68,165.13,119.31,142.22,11.57%,Below 52 Week High ,BETTER,SELL,3,3,7,7
HP,Helmerich & Payne,Energy,64.87,-54.51,75.02,42.16,58.59,13.53%,Below 52 Week High ,BETTER,LOOK,3,4,-18,-14
HPE,Hewlett Packard Enterprise,Information Technology,15.04,11.57,24.88,12.815,18.8475,17.36%,Above 52 Week Low,BEST,BUY,1,1,12,12
HPQ,HP Inc.,Information Technology,19.92,12.07,24.1,15.39,19.745,17.34%,Below 52 Week High ,BETTER,BUY,3,1,4,12
HRB,Block H&R,Financials,25.19,12.29,31.8,19.85,25.825,26.90%,Above 52 Week Low,GOOD,BUY,2,1,6,12
HRL,Hormel Foods Corp.,Consumer Staples,32.21,20.39,38,29.75,33.875,8.27%,Above 52 Week Low,BEST,SELL,1,3,20,7
HRS,Harris Corporation,Information Technology,149.84,26.38,160.67,104.16,132.415,6.74%,Below 52 Week High ,BETTER,SELL,3,3,9,9
HSIC,Henry Schein,Health Care,70.85,19.85,93.495,65.28,79.3875,8.53%,Above 52 Week Low,BEST,HOLD,1,2,20,10
HST,Host Hotels & Resorts,Real Estate,18.75,11.23,21.53,17.26,19.395,8.63%,Above 52 Week Low,BEST,BUY,1,1,11,11
HSY,The Hershey Company,Consumer Staples,97.65,20.51,116.49,98.851,107.6705,-1.21%,Below 52 Week Low,CAUTION,SELL,4,3,5,7
HUM,Humana Inc.,Health Care,262.37,22.39,293.35,189.01,241.18,10.56%,Below 52 Week High ,BETTER,SELL,3,3,7,7
IBM,International Business Machines,Information Technology,147.59,10.67,182.79,139.13,160.96,6.08%,Above 52 Week Low,BEST,BUY,1,1,11,11
ICE,Intercontinental Exchange,Financials,67,22.95,76.1378,56.8,66.4689,12.00%,Below 52 Week High ,BETTER,SELL,3,3,8,8
IDXX,IDEXX Laboratories,Health Care,169.28,53.57,198.73,140.63,169.68,20.37%,Above 52 Week Low,GOOD,SELL,2,3,27,18
IFF,Intl Flavors & Fragrances,Materials,138,24.17,157.4,116.3,136.85,12.33%,Below 52 Week High ,BETTER,SELL,3,3,8,8
ILMN,Illumina Inc,Health Care,209.54,52.25,248.97,158.0203,203.49515,15.84%,Below 52 Week High ,BETTER,SELL,3,3,17,17
INCY,Incyte,Health Care,83.92,-119.89,153.15,84.21,118.68,-0.34%,Below 52 Week Low,CAUTION,LOOK,4,4,-30,-30
INFO,IHS Markit Ltd.,Industrials,43.73,26.19,49.19,37.82,43.505,11.10%,Below 52 Week High ,BETTER,SELL,3,3,9,9
INTC,Intel Corp.,Information Technology,42.75,12.32,50.85,33.23,42.04,15.93%,Below 52 Week High ,BETTER,BUY,3,1,4,12
INTU,Intuit Inc.,Information Technology,152.75,40.52,170.59,111.9,141.245,10.46%,Below 52 Week High ,BETTER,SELL,3,3,14,14
IP,International Paper,Materials,56.05,15.57,66.94,49.6,58.27,13.00%,Above 52 Week Low,BEST,HOLD,1,2,16,8
IPG,Interpublic Group,Consumer Discretionary,21.34,15.46,25.71,18.3,22.005,16.61%,Above 52 Week Low,BEST,HOLD,1,2,15,8
IQV,IQVIA Holdings Inc.,Health Care,95.23,21.74,110.67,75.94,93.305,13.95%,Below 52 Week High ,BETTER,SELL,3,3,7,7
IR,Ingersoll-Rand PLC,Industrials,87.6,19.38,97.67,77.26,87.465,10.31%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
IRM,Iron Mountain Incorporated,Real Estate,32.07,15.42,41.53,32.05,36.79,0.06%,Above 52 Week Low,BETTER,HOLD,3,2,5,8
ISRG,Intuitive Surgical Inc.,Health Care,381.87,48.58,452,233.10643,342.553215,15.52%,Below 52 Week High ,BETTER,SELL,3,3,16,16
IT,Gartner Inc,Information Technology,114.26,36.86,142.16,97.96,120.06,16.64%,Above 52 Week Low,BEST,SELL,1,3,37,12
ITW,Illinois Tool Works,Industrials,156.15,23.62,179.07,126.52,152.795,12.80%,Below 52 Week High ,BETTER,SELL,3,3,8,8
IVZ,Invesco Ltd.,Financials,31.92,11.87,38.43,29.36,33.895,8.72%,Above 52 Week Low,BEST,BUY,1,1,12,12
JBHT,J. B. Hunt Transport Services,Industrials,114.81,30.62,126.49,83.35,104.92,9.23%,Below 52 Week High ,BETTER,SELL,3,3,10,10
JCI,Johnson Controls International,Industrials,36.55,14,44.37,34.51,39.44,5.91%,Above 52 Week Low,BEST,BUY,1,1,14,14
JEC,Jacobs Engineering Group,Industrials,62.82,19.45,72.18,49.31,60.745,12.97%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
JNJ,Johnson & Johnson,Health Care,126.36,17.31,148.32,113.15,130.735,11.67%,Above 52 Week Low,BEST,HOLD,1,2,17,9
JNPR,Juniper Networks,Information Technology,24.66,14.09,30.96,23.87,27.415,3.31%,Above 52 Week Low,BEST,BUY,1,1,14,14
JPM,JPMorgan Chase & Co.,Financials,107.88,15.43,117.3529,81.635,99.49395,8.07%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
JWN,Nordstrom,Consumer Discretionary,47.23,15.04,53,37.7924,45.3962,10.89%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
K,Kellogg Co.,Consumer Staples,65.98,16.5,76.69,58.76,67.725,12.29%,Above 52 Week Low,BEST,HOLD,1,2,17,8
KEY,KeyCorp,Financials,20.08,14.66,22.22,16.28,19.25,9.63%,Below 52 Week High ,BETTER,BUY,3,1,5,15
KHC,Kraft Heinz Co,Consumer Staples,71.58,20.11,97.77,72.05,84.91,-0.65%,Below 52 Week Low,CAUTION,SELL,4,3,5,7
KIM,Kimco Realty,Real Estate,14.01,9.28,25.15,14.33,19.74,-2.23%,Below 52 Week Low,CAUTION,BUY,4,1,2,9
KLAC,KLA-Tencor Corp.,Information Technology,98.54,16.59,121.65,86.33,103.99,14.14%,Above 52 Week Low,BEST,HOLD,1,2,17,8
KMB,Kimberly-Clark,Consumer Staples,111.69,17.93,136.21,109.67,122.94,1.84%,Above 52 Week Low,BEST,HOLD,1,2,18,9
KMI,Kinder Morgan,Energy,16.8,25.07,22.75,16.56,19.655,1.45%,Above 52 Week Low,BEST,SELL,1,3,25,8
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,77.64,54.29,65.965,18.51%,Above 52 Week Low,BEST,HOLD,1,2,19,10
KO,Coca-Cola Company (The),Consumer Staples,43.1,22.8,48.615,40.22,44.4175,7.16%,Above 52 Week Low,BEST,SELL,1,3,23,8
KORS,Michael Kors Holdings,Consumer Discretionary,60.03,14.29,69.95,32.38,51.165,14.18%,Below 52 Week High ,BETTER,BUY,3,1,5,14
KR,Kroger Co.,Consumer Staples,27.57,13.07,34.75,19.69,27.22,20.66%,Below 52 Week High ,BETTER,BUY,3,1,4,13
KSS,Kohl's Corp.,Consumer Discretionary,60.34,16.01,69.14,35.16,52.15,12.73%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
KSU,Kansas City Southern,Industrials,103.53,19.8,114.85,81.54,98.195,9.86%,Below 52 Week High ,BETTER,HOLD,3,2,7,10
L,Loews Corp.,Financials,46.05,15.99,53.59,45.01,49.3,2.31%,Above 52 Week Low,BEST,HOLD,1,2,16,8
LB,L Brands Inc.,Consumer Discretionary,47.77,12.77,63.1,35,49.05,36.49%,Above 52 Week Low,GOOD,BUY,2,1,6,13
LEG,Leggett & Platt,Consumer Discretionary,43.99,17.88,54.97,42,48.485,4.74%,Above 52 Week Low,BEST,HOLD,1,2,18,9
LEN,Lennar Corp.,Consumer Discretionary,59.11,15.35,72.17,43.647053,57.9085265,18.10%,Below 52 Week High ,BETTER,HOLD,3,2,5,8
LH,Laboratory Corp. of America Holding,Health Care,165.46,17.79,181.715,130.292,156.0035,8.95%,Below 52 Week High ,BETTER,HOLD,3,2,6,9
LKQ,LKQ Corporation,Consumer Discretionary,38.86,21.35,43.8599,27.85,35.85495,11.40%,Below 52 Week High ,BETTER,SELL,3,3,7,7
LLL,L-3 Communications Holdings,Industrials,198.79,23.14,218.705,159.43,189.0675,9.11%,Below 52 Week High ,BETTER,SELL,3,3,8,8
LLY,Lilly (Eli) & Co.,Health Care,74.21,17.34,89.09,75.71,82.4,-1.98%,Below 52 Week Low,CAUTION,HOLD,4,2,4,9
LMT,Lockheed Martin Corp.,Industrials,334.3,24.28,361.79,256.4,309.095,7.60%,Below 52 Week High ,BETTER,SELL,3,3,8,8
LNC,Lincoln National,Financials,73.86,9.49,86.68,61.45,74.065,20.20%,Above 52 Week Low,GOOD,BUY,2,1,5,9
LNT,Alliant Energy Corp,Utilities,37.14,19.86,45.55,36.84,41.195,0.81%,Above 52 Week Low,BETTER,HOLD,3,2,7,10
LOW,Lowe's Cos.,Consumer Discretionary,95.01,23.87,108.98,70.76,89.87,12.82%,Below 52 Week High ,BETTER,SELL,3,3,8,8
LRCX,Lam Research,Information Technology,162.23,16.29,219.7,113.1982,166.4491,43.31%,Above 52 Week Low,CAUTION,HOLD,4,2,4,8
LUK,Leucadia National Corp.,Financials,23.86,15.39,28.3,22.23,25.265,7.33%,Above 52 Week Low,BEST,HOLD,1,2,15,8
LUV,Southwest Airlines,Industrials,55.63,15.89,66.985,49.76,58.3725,11.80%,Above 52 Week Low,BEST,HOLD,1,2,16,8
LYB,LyondellBasell,Materials,105.79,10.35,121.95,78.01,99.98,13.25%,Below 52 Week High ,BETTER,BUY,3,1,3,10
M,Macy's Inc.,Consumer Discretionary,24,7.67,33.73,17.405,25.5675,37.89%,Above 52 Week Low,GOOD,BUY,2,1,4,8
MA,Mastercard Inc.,Information Technology,160.62,34.99,177.11,105.8,141.455,9.31%,Below 52 Week High ,BETTER,SELL,3,3,12,12
MAA,Mid-America Apartments,Real Estate,85.39,14.38,110.95,86.95,98.95,-1.79%,Below 52 Week Low,CAUTION,BUY,4,1,4,14
MAC,Macerich,Real Estate,58.36,14.81,69.73,52.12,60.925,11.97%,Above 52 Week Low,BEST,BUY,1,1,15,15
MAR,Marriott Int'l.,Consumer Discretionary,133.88,32.73,149.21,85.3725,117.29125,10.27%,Below 52 Week High ,BETTER,SELL,3,3,11,11
MAS,Masco Corp.,Industrials,40.7,22.12,46.445,31.29,38.8675,12.37%,Below 52 Week High ,BETTER,SELL,3,3,7,7
MAT,Mattel Inc.,Consumer Discretionary,16,-14.68,26.3,12.71,19.505,25.89%,Above 52 Week Low,GOOD,LOOK,2,4,-7,-4
MCD,McDonald's Corp.,Consumer Discretionary,158.97,23.83,178.7,124.36,151.53,11.04%,Below 52 Week High ,BETTER,SELL,3,3,8,8
MCHP,Microchip Technology,Information Technology,79.9,21.77,99.17,69.76,84.465,14.54%,Above 52 Week Low,BEST,SELL,1,3,22,7
MCK,McKesson Corp.,Health Care,150.23,11.68,178.86,133.82,156.34,12.26%,Above 52 Week Low,BEST,BUY,1,1,12,12
MCO,Moody's Corp,Financials,152.14,26.55,167.23,106.48,136.855,9.02%,Below 52 Week High ,BETTER,SELL,3,3,9,9
MDLZ,Mondelez International,Consumer Staples,42.68,19.85,47.23,39.19,43.21,8.91%,Above 52 Week Low,BEST,HOLD,1,2,20,10
MDT,Medtronic plc,Health Care,78.38,17.04,89.72,75.44,82.58,3.90%,Above 52 Week Low,BEST,HOLD,1,2,17,9
MET,MetLife Inc.,Financials,44.28,8.52,56.58,44.58,50.58,-0.67%,Below 52 Week Low,CAUTION,BUY,4,1,2,9
MGM,MGM Resorts International,Consumer Discretionary,33.5,29.65,38.41,25.15,31.78,12.78%,Below 52 Week High ,BETTER,SELL,3,3,10,10
MHK,Mohawk Industries,Consumer Discretionary,256.57,19.08,286.85,209.9,248.375,10.56%,Below 52 Week High ,BETTER,HOLD,3,2,6,10
MKC,McCormick & Co.,Consumer Staples,101.36,23.91,109.67,90.25,99.96,7.58%,Below 52 Week High ,BETTER,SELL,3,3,8,8
MLM,Martin Marietta Materials,Materials,208.42,30.38,244.32,191.09,217.705,9.07%,Above 52 Week Low,BEST,SELL,1,3,30,10
MMC,Marsh & McLennan,Financials,79.31,20.23,86.54,69.33,77.935,8.35%,Below 52 Week High ,BETTER,SELL,3,3,7,7
MMM,3M Company,Industrials,222.89,24.31,259.77,175.49,217.63,14.20%,Below 52 Week High ,BETTER,SELL,3,3,8,8
